Model: GOKU - pendulum created with 505764 parameters.
[Epoch 509/1600]  loss = 0.6225
[Epoch 510/1600]  loss = 0.4702
[Epoch 511/1600]  loss = 0.6137
[Epoch 512/1600]  loss = 0.5498
[Epoch 513/1600]  loss = 0.4189
[Epoch 514/1600]  loss = 0.6030
[Epoch 515/1600]  loss = 0.7086
[Epoch 516/1600]  loss = 0.8022
[Epoch 517/1600]  loss = 0.7775
[Epoch 518/1600]  loss = 0.6409
[Epoch 519/1600]  loss = 0.5443
[Epoch 520/1600]  loss = 0.5446
[Epoch 521/1600]  loss = 0.6631
[Epoch 522/1600]  loss = 0.5382
[Epoch 523/1600]  loss = 0.4066
[Epoch 524/1600]  loss = 0.3922
[Epoch 525/1600]  loss = 0.4300
[Epoch 526/1600]  loss = 0.4429
[Epoch 527/1600]  loss = 0.6096
[Epoch 528/1600]  loss = 0.4593
[Epoch 529/1600]  loss = 0.6130
[Epoch 530/1600]  loss = 0.7677
[Epoch 531/1600]  loss = 0.5743
[Epoch 532/1600]  loss = 0.5752
[Epoch 533/1600]  loss = 0.5738
[Epoch 534/1600]  loss = 0.4662
[Epoch 535/1600]  loss = 0.4672
[Epoch 536/1600]  loss = 0.8565
[Epoch 537/1600]  loss = 0.7652
[Epoch 538/1600]  loss = 0.8893
[Epoch 539/1600]  loss = 1.0966
[Epoch 540/1600]  loss = 0.9893
[Epoch 541/1600]  loss = 0.6039
[Epoch 542/1600]  loss = 0.4789
[Epoch 543/1600]  loss = 0.4225
[Epoch 544/1600]  loss = 0.5902
[Epoch 545/1600]  loss = 0.5531
[Epoch 546/1600]  loss = 0.4150
[Epoch 547/1600]  loss = 0.4159
[Epoch 548/1600]  loss = 0.3464
[Epoch 549/1600]  loss = 0.3763
[Epoch 550/1600]  loss = 0.6655
[Epoch 551/1600]  loss = 0.8089
[Epoch 552/1600]  loss = 0.6817
[Epoch 553/1600]  loss = 0.6523
[Epoch 554/1600]  loss = 0.6214
[Epoch 555/1600]  loss = 0.4405
[Epoch 556/1600]  loss = 0.4543
[Epoch 557/1600]  loss = 0.5601
[Epoch 558/1600]  loss = 0.5526
[Epoch 559/1600]  loss = 0.6065
[Epoch 560/1600]  loss = 0.6343
[Epoch 561/1600]  loss = 0.6398
[Epoch 562/1600]  loss = 0.5303
[Epoch 563/1600]  loss = 0.4648
[Epoch 564/1600]  loss = 0.4589
[Epoch 565/1600]  loss = 0.4902
[Epoch 566/1600]  loss = 0.4797
[Epoch 567/1600]  loss = 0.4700
[Epoch 568/1600]  loss = 0.6135
[Epoch 569/1600]  loss = 0.6314
[Epoch 570/1600]  loss = 0.5159
[Epoch 571/1600]  loss = 0.4093
[Epoch 572/1600]  loss = 0.3728
[Epoch 573/1600]  loss = 0.3001
[Epoch 574/1600]  loss = 0.3063
